county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
27089,Marshall,MN,28.549872773536897,28.87679389312977,42.573594147582696,7.20232665394402,55.65387514910536,1.278159522862823
27007,Beltrami,MN,15.886781639413218,27.626339450023657,56.48646879436353,6.427312161522688,56.43058075032205,1.1365396850435103
27025,Chisago,MN,18.031359368621583,32.45324261804327,49.51476663491631,5.777205061913185,53.34374744863246,1.2367568376649885
27061,Itasca,MN,16.18932019352969,36.80311698735814,47.00798421439879,5.542661256159283,50.013941718133374,1.144288421662839
27049,Goodhue,MN,23.334290413805043,53.315077624516654,23.350178911525365,6.38091418018122,47.490110809718935,1.3158824378138165
27083,Lyon,MN,32.316339900843474,38.243854227029814,29.4397334363531,6.946294507758677,45.56212574850299,1.363959983259288
27093,Meeker,MN,24.6498728990401,34.61652312478658,40.733683651401904,6.810291383693136,42.7999563683272,1.311729142163372
27077,Lake of the Woods,MN,14.616003198553695,22.111424399402008,63.27286096721482,6.381013802454542,55.57654114947324,1.1291829213170612
27081,Lincoln,MN,30.87449970500534,43.58532042798144,25.54016551592174,6.819150734297514,45.60299299985649,1.341768692296653
27037,Dakota,MN,20.46454120380022,37.01797659111892,42.51748816153915,6.224156416594693,46.93479465110046,1.299765315543378
27075,Lake,MN,17.082912477724356,39.20945832352645,43.7078343028143,5.22698967754951,67.97839682593053,1.0119273057395515
27111,Otter Tail,MN,18.35627138279963,28.15145448292091,53.4922958564886,6.60007240736383,48.28556016146842,1.2398397987075287
27065,Kanabec,MN,17.88170599403309,48.94344027277306,33.174094308187065,5.584811499864388,53.18528614049362,1.1853442597543493
27021,Cass,MN,12.384444444444444,27.32652533453616,60.28914448955045,5.634536159975943,49.27280245391393,1.1749213604787538
27003,Anoka,MN,10.80413670938835,19.343565697613837,69.85225591330624,5.829199228925706,52.55033343753256,1.2087295509013234
27101,Murray,MN,34.35638626339004,41.05845305608066,24.58524732199118,6.707718966603655,41.70848928796472,1.3610111846250788
27099,Mower,MN,26.385005797737318,49.522169293929615,24.09318217430819,6.211955874518161,41.43663386505374,1.3973421291798553
27009,Benton,MN,12.144196883937678,26.533282665653314,61.32230444608892,5.76367527350547,45.54911498229965,1.2543472869457388
27159,Wadena,MN,9.827610758085473,21.05385450597177,69.11855075559353,5.959254908243,48.14323525747139,1.2142688809383955
27123,Ramsey,MN,15.74535590473189,29.191080995902933,55.064193417675924,6.020818513349242,46.09579487641259,1.2381549682589708
27167,Wilkin,MN,29.453783142918734,31.55797370122871,38.988663505065745,7.2165272688079325,49.39746281526191,1.3064509592584608
27113,Pennington,MN,19.624044051780164,22.734308748880263,57.64155410745965,7.090840110305095,50.727883652714596,1.3037983243461613
27059,Isanti,MN,16.551209154625226,30.347210582686635,53.101862116913125,5.776294180649768,50.83878877844379,1.205236287791954
27155,Traverse,MN,34.0570405109231,36.764923526500596,29.17788984988099,7.190943369547286,48.04529257888907,1.3084820776282609
27173,Yellow Medicine,MN,30.13460548504482,38.428697375817286,31.437211916807193,7.090526907487944,47.57146238276974,1.3707517529067186
27157,Wabasha,MN,23.52065817512592,55.04097006974041,21.438182874854707,6.362412824486634,48.334339887640446,1.3285635412630763
